	k_rad(cm3s-1)	peq_min(cm-3)	k_capture(s-1)	k_emission(s-1)	k_deep(s-1)	k_nr_eff(s-1)	k_bulk_eff(s-1)	S_1(cm s-1)	S_2(cm s-1)	S_lower(cm s-1)	S_upper(cm s-1)	Mobility_values(cm2V-1s-1)	Diffusion_length(um)	LL	sigma_LL_factor
3088	7.561910553879911e-11	2066117695414273.8	1286386.4247309733	784080.8901000527	1391.8287173355895	1389.3651136697	340880.3606377997	10.344596841347782	1.571981258103162	1.571981258103162	10.344596841347782	0.411148733261133	1.742113165226149	0.47424291623133713	2.0402419763150936
3089	7.7025590301683e-11	2066117695414273.8	1360019.4077719115	786160.7889536398	1463.9642489299172	1461.2460931064472	347266.6367550628	10.344596841347782	1.571981258103162	1.571981258103162	10.344596841347782	0.4292333252789932	1.7635714548783403	0.439554926113191	2.12049078438678
3090	7.527874422801135e-11	2066117695414273.8	1339959.7307994221	765669.0482359204	1416.2431721949495	1413.6311718705904	339376.57899675943	10.344596841347782	1.571981258103162	1.571981258103162	10.344596841347782	0.4020224226859827	1.7264820970078594	0.47264980859920946	2.0400199065909312
3091	7.531568552943768e-11	2066117695414273.8	1355521.8801848132	794422.3748818391	1349.048867471219	1346.7641367668618	339475.55945625145	10.344596841347782	1.648712479499423	1.648712479499423	10.344596841347782	0.4043345301346	1.7311872075696488	0.47610597223196705	2.0378746264268415
3092	7.436025920826687e-11	2066117695414273.8	1317762.7483563505	777058.1332959417	1336.987172670189	1334.6930640887574	335174.114281445	10.344596841347782	1.648712479499423	1.648712479499423	10.344596841347782	0.41857128645951486	1.7726678004504237	0.47077397027867673	2.0438182322299476
3093	7.4853818976561e-11	2065864995326650.0	1248574.6080329542	760766.2388237851	1330.9050952471835	1328.5833147636404	337364.91915676405	10.344596841347782	1.648712479499423	1.648712479499423	10.344596841347782	0.4092409098886286	1.7470986789243514	0.47162852393627885	2.0477649156278863
3094	7.469186529252937e-11	2065864995326650.0	1260926.9863847608	775438.3108134271	1331.4477254116512	1329.1679210017778	336638.455720535	10.344596841347782	1.648712479499423	1.648712479499423	10.344596841347782	0.4396911073117397	1.812883319260067	0.47588425585264743	2.0407615050040313
3095	7.441399889541125e-11	2035427822686532.8	1381787.31019765	805635.3215082724	1427.8731437638303	1425.349528411477	333222.2782203487	10.344596841347782	1.648712479499423	1.648712479499423	10.344596841347782	0.393385617276371	1.723534967414496	0.45228881570255836	2.093383769554773
3096	7.45018658811352e-11	2035427822686532.8	1331875.4245225682	769703.5976805035	1388.7155299880494	1386.2170975040876	333574.9268579147	10.344596841347782	1.9503705699961404	1.9503705699961404	10.344596841347782	0.4198877201886818	1.779703940014128	0.42677712242479343	2.1565069190801616
3097	7.428717394472131e-11	2035427822686532.8	1283472.551454783	781341.7743253453	1369.8415687731094	1367.446733585635	332598.888692582	10.344596841347782	1.9503705699961404	1.9503705699961404	10.344596841347782	0.4119971634681269	1.765487271908178	0.4247305954695275	2.1565069190801616
3098	7.532802195853218e-11	2035427822686532.8	1266915.6286469682	776314.4694406217	1384.4988084487313	1382.0367446223465	337254.40889610763	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.4543614816782547	1.8411950999798874	0.4450643170672624	2.121843992189705
3099	7.481119338336171e-11	2026974843115735.5	1269172.9153375737	791739.040303622	1416.6554580894383	1414.1279908191427	334349.68885761703	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.401347366122567	1.7379513761264676	0.4481063608381001	2.0983243627788455
3100	7.518650887287932e-11	2026974843115735.5	1345005.0091063203	812538.073482139	1458.547408441621	1455.936763582142	336061.7807438203	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.4025796811538616	1.7361779587084745	0.4488542638511872	2.0983243627788455
3101	7.482022765752317e-11	2026974843115735.5	1340016.016664642	797760.4950098916	1518.0593901340485	1515.1794222460592	334490.9459186956	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.42273506942407074	1.7832811967553313	0.45612748686471344	2.0791717735334427
3102	7.441543523337308e-11	2023792817123025.2	1271482.1751326683	781625.9391328442	1476.0196519216572	1473.2408211191487	332410.7498497641	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.3995500765929273	1.7391056015405097	0.4540319797249013	2.083411878410416
3103	7.418689670612147e-11	2023792817123025.2	1281297.589799437	783241.1666068585	1535.4109514271029	1532.4105240405488	331453.5716580783	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.43891189343189324	1.8253880280530248	0.47282582389254996	2.048703476265643
3104	7.407156890355635e-11	2018486120014477.0	1321979.7060775394	774995.0483225288	1633.0544798608098	1629.6248118094893	330644.8291236826	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.41507603175491675	1.7773003860560475	0.4711485515035438	2.0453720156091086
3105	7.409701999237215e-11	2018486120014477.0	1241547.29301621	770623.4171621867	1623.0817527330807	1619.674867861982	330747.9292380859	10.344596841347782	1.5099167631173906	1.5099167631173906	10.344596841347782	0.4259851083840268	1.8002238725582493	0.47309027878709203	2.043749471995573
3106	7.434537258651806e-11	2009082027644474.8	1230454.8536511161	778191.7759304934	1665.7194542271038	1662.1664073296804	331194.4163579663	10.325528162003874	1.5099167631173906	1.5099167631173906	10.325528162003874	0.3838236616986135	1.7076632954324087	0.4536854684786993	2.0892667641919305
3107	7.423328442225594e-11	2009082027644474.8	1187502.9847362824	763323.4327497676	1611.7292650516972	1608.3379314300819	330643.7625427472	10.325528162003874	1.5099167631173906	1.5099167631173906	10.325528162003874	0.38440469580174275	1.7103777954187729	0.4353284456402142	2.1319008875399246
3108	7.380790945856645e-11	2009082027644474.8	1172072.4470696526	743172.778174581	1705.9914622775404	1702.0899189013135	328852.0606817742	10.284052218212834	1.5099167631173906	1.5099167631173906	10.284052218212834	0.41491016514755885	1.7817822512121204	0.4540566195296025	2.085353114730104
3109	7.315795795072886e-11	2009082027644474.8	1290771.6887286038	765368.8315601742	1699.6881285119703	1695.9268731519826	325965.019172644	10.284052218212834	1.5099167631173906	1.5099167631173906	10.284052218212834	0.3797234622139916	1.712088036609038	0.47949599223008116	2.0378478696986853
3110	7.329995082027142e-11	2009082027644474.8	1225411.827233477	743031.1913742386	1581.6380466469611	1578.2828072687967	326476.7515985237	10.284052218212834	1.5099167631173906	1.5099167631173906	10.284052218212834	0.41257165040789745	1.783205667172803	0.47507792472990895	2.043312115595981
3111	7.244642336183923e-11	2026483029820975.5	1270316.4045888719	771564.2567025801	1593.711545839899	1590.4305423919086	323966.320735984	10.284052218212834	1.8085405941070218	1.8085405941070218	10.284052218212834	0.4092241434849073	1.7828243913358959	0.46661004814145257	2.05913889572494
3112	7.350040785423955e-11	2026483029820975.5	1229797.056664997	755344.0065335466	1599.7691777777397	1596.3925246633034	328662.35813151277	10.284052218212834	1.8085405941070218	1.8085405941070218	10.284052218212834	0.4041219875909653	1.7589728312400774	0.4536274622409182	2.0857554600945876
